train_number,train_name,scraped_train_name,csv_source,csv_destination,scraped_source,scraped_destination,identity_check,running_days,status
43921,Tiruvallur Kadambattur EMU,TRL-KBT EMU LOCAL,TIRUVALLUR,KADAMBATTUR,Tiruvallur,Kadambattur,match,1111111,ok
47101,Hyderabad Lingampalli MMTS,HYB-LPI,HYDERABAD DECCAN,LINGAMPALLI,Hyderabad Decan,Lingampalli,match,1111111,ok
47102,Hyderabad Lingampalli MMTS,HYB-LPI,HYDERABAD DECCAN,LINGAMPALLI,Hyderabad Decan,Lingampalli,match,1111111,ok
47103,Hyderabad Lingampalli MMTS,HYB-LPI,HYDERABAD DECCAN,LINGAMPALLI,Hyderabad Decan,Lingampalli,match,1111111,ok
47104,Hyderabad Lingampalli MMTS,HYB-LPI,HYDERABAD DECCAN,LINGAMPALLI,Hyderabad Decan,Lingampalli,match,1111111,ok
47105,Hyderabad Lingampalli MMTS,HYB LPI LOCAL,HYDERABAD DECCAN,LINGAMPALLI,Hyderabad Decan,Lingampalli,match,1111100,ok
47106,Hyderabad Lingampalli MMTS,HYB LPI LOCAL,HYDERABAD DECCAN,LINGAMPALLI,Hyderabad Decan,Lingampalli,match,1111111,ok
47107,Hyderabad Lingampalli MMTS,HYB LPI LOCAL,HYDERABAD DECCAN,LINGAMPALLI,Hyderabad Decan,Lingampalli,match,1111111,ok
47108,Hyderabad Lingampalli MMTS,HYB LPI LOCAL,HYDERABAD DECCAN,LINGAMPALLI,Hyderabad Decan,Lingampalli,match,1111111,ok
47109,Hyderabad Lingampalli MMTS,HYB LPI LOCAL,HYDERABAD DECCAN,LINGAMPALLI,,,unknown,1111111,summary_parse_failed
47110,Hyderabad Lingampalli MMTS,HYB LPI LOCAL,HYDERABAD DECCAN,LINGAMPALLI,,,unknown,1111111,summary_parse_failed
47111,Hyderabad Lingampalli MMTS,HYB-LPI,HYDERABAD DECCAN,LINGAMPALLI,Hyderabad Decan,Lingampalli,match,1111111,ok
47112,Hyderabad Lingampalli MMTS,HYB LPI LOCAL,HYDERABAD DECCAN,LINGAMPALLI,,,unknown,1111111,summary_parse_failed
54313,Chandausi Moradabad Passenger,CH MB PASS,CHANDAUSI JN,MORADABAD,Chandausi Jn,Moradabad,match,1111111,ok
12952,Mumbai Rajdhani Express,MMCT TEJAS RAJ,NEW DELHI,Mumbai Central,New Delhi,Mumbai Central,match,1111111,ok
22404,New Delhi-Puducherry SF Exp,NDLS PDY SF EXP,NEW DELHI,Puducherry,New Delhi,Pondicherry,match,1,ok
47113,Hyderabad Lingampalli MMTS,HYB LPI LOCAL,HYDERABAD DECCAN,LINGAMPALLI,,,unknown,1111111,summary_parse_failed
47114,Hyderabad Lingampalli MMTS,HYB LPI LOCAL,HYDERABAD DECCAN,LINGAMPALLI,,,unknown,1111111,summary_parse_failed
47116,Hyderabad Lingampalli MMTS,HYB LPI LOCAL,HYDERABAD DECCAN,LINGAMPALLI,,,unknown,1111111,summary_parse_failed
47117,Hyderabad Lingampalli MMTS,HYB LPI LOCAL,HYDERABAD DECCAN,LINGAMPALLI,Hyderabad Decan,Lingampalli,match,1111111,ok
