train_number,train_name,scraped_train_name,csv_source,csv_destination,scraped_source,scraped_destination,identity_check,running_days,status
12246,YESVANTPUR - HOWRAH AC Duronto Exp,DURONTO EXPRESS,YESVANTPUR JN,HOWRAH JN,Smvt Bengaluru,Howrah Jn,match,1101101,ok
12334,Vibhuti Express,VIBHUTI EXPRESS,ALLAHABAD CITY,HOWRAH JN,Prayagrajrambag,Howrah Jn,match,1111111,ok
12337,Shantiniketan Express,SANTINIKETN EXP,HOWRAH JN,BOLPUR SHANTINIKETAN,Howrah Jn,Bolpur Shantiniketan,match,1111111,ok
12338,Shantiniketan Express,SANTINIKETN EXP,BOLPUR SHANTINIKETAN,HOWRAH JN,Bolpur Shantiniketan,Howrah Jn,match,1111111,ok
12341,Agniveena Express,AGNIVEENA EXP,HOWRAH JN,ASANSOL JN,Howrah Jn,Asansol Jn,match,1111111,ok
12342,Agniveena Express,AGNIVEENA EXP,ASANSOL JN,HOWRAH JN,Asansol Jn,Howrah Jn,match,1111111,ok
12345,HOWRAH - GUWAHATI Saraighat SF Exp,SARAIGHAT EXP,HOWRAH JN,GUWAHATI,Howrah Jn,Guwahati,match,1111111,ok
12347,Howrah-Rampur Hat SF Express,HWH RPH EXPRESS,HOWRAH JN,RAMPUR HAT,Howrah Jn,Rampur Hat,match,1111111,ok
12348,Rampur Hat-Howrah SF Express,RPH HWH EXPRESS,RAMPUR HAT,HOWRAH JN,Rampur Hat,Howrah Jn,match,1111111,ok
12351,Howrah- Danapur Express,,HOWRAH JN,DANAPUR,,,unknown,1111111,summary_parse_failed
12352,Danapur- Howrah Express,RJPB HWH EXP,DANAPUR,HOWRAH JN,Rajendranagar T,Howrah Jn,match,1111111,ok
12356,Archana Express,ARCHANA EXP,JAMMU TAWI,RAJENDRA NAGAR BIHAR,Jammu Tawi,Patna Jn,match,10001,ok
12357,KOLKATA CHITPUR - AMRITSAR Durgiana SF Exp,DURGIANA EXP,KOLKATA CHITPUR,AMRITSAR JN,Kolkata,Amritsar Jn,match,100010,ok
12358,AMRITSAR - KOLKATA CHITPUR Durgiana SF Exp,DURGIANA EXP,AMRITSAR JN,KOLKATA CHITPUR,Amritsar Jn,Kolkata,match,1001000,ok
12360,KOLKATA CHITPUR - PATNA Garib Rath Exp,KOL GARIB RATH,PATNA JN,KOLKATA CHITPUR,Ara,Kolkata,match,10101,ok
12361,ASANSOL - MUMBAI CST SF Exp,ASN CSMT EXP,ASANSOL JN,MUMBAI CST,Asansol Jn,C Shivaji Maharaj T,match,1,ok
12362,MUMBAI CST - ASANSOL SF Exp,CSMT ASANSOL EXP,MUMBAI CST,ASANSOL JN,C Shivaji Maharaj T,Asansol Jn,match,10000,ok
12364,HALDIBARI - KOLKATA CHITPUR SF Intercity Exp,HDB KOAA SF EXP,HALDIBARI,KOLKATA CHITPUR,Haldibari,Kolkata,match,10101,ok
12365,Patna-Ranchi Jan Shatabdi Express,RNC JANSHATABDI,PATNA JN,RANCHI,Patna Jn,Ranchi,match,1111111,ok
12366,Ranchi Patna Jan Shatabdi Express,PNBE JANSHATBDI,RANCHI,PATNA JN,Ranchi,Patna Jn,match,1111111,ok
12369,Kumbh Express,KUMBHA EXPRESS,HOWRAH JN,HARIDWAR JN,Howrah Jn,Dehradun,match,1011011,ok
12370,Kumbh Express,KUMBHA EXPRESS,HARIDWAR JN,HOWRAH JN,Dehradun,Howrah Jn,match,1101101,ok
12381,Poorva Express,POORVA EXPRESS,HOWRAH JN,NEW DELHI,Howrah Jn,New Delhi,match,11001,ok
12382,Poorva Express,POORVA EXPRESS,NEW DELHI,HOWRAH JN,New Delhi,Howrah Jn,match,1100100,ok
12389,GAYA - CHENNAI EGMORE SF Exp,GAYA MAS EXPRES,GAYA JN,CHENNAI EGMORE,Gaya Jn,Mgr Chennai Ctr,match,1,ok
12390,CHENNAI EGMORE - GAYA SF Exp,MAS GAYA SF EXP,CHENNAI EGMORE,GAYA JN,Mgr Chennai Ctr,Gaya Jn,match,100000,ok
12391,Shramjeevi Express,SHRAMJEEVI EXP,Rajgir,NEW DELHI,Rajgir,New Delhi,match,1111111,ok
12392,Shramjeevi Express,SHRAMJIVI EXP,NEW DELHI,Rajgir,New Delhi,Rajgir,match,1111111,ok
12396,Ajmer-RajendraNagar Ziyarat Express,ZIYARAT EXPRESS,AJMER JN,RAJENDRA NAGAR BIHAR,Ajmer Jn,Rajendranagar T,match,100,ok
12404,Mathura Allahabad SF Express,LGH PRYJ SF EXP,MATHURA JN,ALLAHABAD JN,Lalgarh Jn,Prayagraj Jn,MISMATCH,110101,ok
12408,AMRITSAR - NEW JALPAIGURI Karmabhoomi Exp,KARMABHOOMI SUPERFAST,AMRITSAR JN,NEW JALPAIGURI,Amritsar Jn,New Jalpaiguri,match,100,ok
12410,Gondwana Express,GONDWANA EXP,DELHI H NIZAMUDDIN,RAIGARH,Hazrat Nizamuddin,Raigarh,match,1111010,ok
12411,CHANDIGARH - AMRITSAR Intercity SF Exp,INTERCITY EXP,CHANDIGARH,AMRITSAR JN,Chandigarh,Amritsar Jn,match,1111111,ok
12412,AMRITSAR - CHANDIGARH Intercity SF Exp,INTERCITY EXP,AMRITSAR JN,CHANDIGARH,Amritsar Jn,Chandigarh,match,1111111,ok
12413,Pooja express,GALTADHAM POOJA,AJMER JN,JAMMU TAWI,Ajmer Jn,Jammu Tawi,match,1111111,ok
12414,Pooja Express,GALTADHAM POOJA,JAMMU TAWI,AJMER JN,Jammu Tawi,Ajmer Jn,match,1111111,ok
12419,Gomti Express,,LUCKNOW,NEW DELHI,,,unknown,1111111,summary_parse_failed
12420,Gomti Express,GOMTI EXPRESS,NEW DELHI,LUCKNOW,New Delhi,Lucknow,match,1111111,ok
12423,DIBRUGARH TOWN - NEW DELHI Rajdhani Exp,RAJDHANI EXP,DIBRUGARH TOWN,NEW DELHI,Dibrugarh,New Delhi,match,1111111,ok
12427,REWA - DELHI ANAND VIHAR SF Exp,REWA ANVT EXP,REWA,ANAND VIHAR TRM,Rewa,Anand Vihar Terminal,match,1111111,ok
12428,DELHI ANAND VIHAR - REWA SF Exp,REWA EXPRESS,ANAND VIHAR TRM,REWA,Anand Vihar Terminal,Rewa,match,1111111,ok
12431,TRIVANDRUM - DELHI H NIZAMUDDIN Rajdhani Exp,RAJDHANI EXP,TRIVANDRUM CENTRAL,DELHI H NIZAMUDDIN,Thiruvananthapuram Central,Hazrat Nizamuddin,MISMATCH,101100,ok
12432,DELHI H NIZAMUDDIN - TRIVANDRUM Rajdhani Exp,TVC RAJDHANI,DELHI H NIZAMUDDIN,TRIVANDRUM CENTRAL,Hazrat Nizamuddin,Thiruvananthapuram Central,MISMATCH,110001,ok
12437,Secunderabad Rajdhani Express,SC NZM RAJDHANI,SECUNDERABAD JN,DELHI H NIZAMUDDIN,Secunderabad Jn,Hazrat Nizamuddin,match,10000,ok
12438,Secunderabad Rajdhani Express,SC RAJDHANI,DELHI H NIZAMUDDIN,SECUNDERABAD JN,Hazrat Nizamuddin,Secunderabad Jn,match,1,ok
12439,RANCHI - NEW DELHI Rajdhani Exp,NED SGNR SF EXP,RANCHI,NEW DELHI,H Sahib Nanded,Shri Ganganagar,MISMATCH,1,ok
12440,NEW DELHI - RANCHI Rajdhani Exp,SGNR NED EXP,NEW DELHI,RANCHI,Shri Ganganagar,H Sahib Nanded,MISMATCH,100,ok
40001,Chennai Beach Tambaram EMU(12 Car),MSB-TBM EMU LOCAL,CHENNAI BEACH,TAMBARAM,,,unknown,1111111,summary_parse_failed
12397,Mahabodhi Express,MAHABODHI EXP,GAYA JN,NEW DELHI,Gaya Jn,New Delhi,match,1111111,ok
12398,Mahabodhi Express,MAHABODHI EXP,NEW DELHI,GAYA JN,New Delhi,Gaya Jn,match,1111111,ok
12401,Magadh Express,KOTA DDN AC EXP,Islampur,NEW DELHI,Kota Jn,Dehradun,MISMATCH,1111111,ok
12402,Magadh Express,DDN KOTA AC EXP,NEW DELHI,Islampur,Dehradun,Kota Jn,MISMATCH,1111111,ok
12405,Gondwana Express,GONDWANA EXPRESS,BHUSAVAL JN,DELHI H NIZAMUDDIN,Bhusaval Jn,Hazrat Nizamuddin,match,100001,ok
12406,H.Nizamuddin-Bhusaval Gondwana Express,GONDWANA EXP,DELHI H NIZAMUDDIN,BHUSAVAL JN,Hazrat Nizamuddin,Bhusaval Jn,match,101,ok
12415,Indore-Nizamuddin Express,INDB NDLS EXP,INDORE JN BG,DELHI H NIZAMUDDIN,Indore Jn Bg,New Delhi,match,1111111,ok
12416,Nizamuddin-Indore Express,NDLS INDB EXP,DELHI H NIZAMUDDIN,INDORE JN BG,New Delhi,Indore Jn Bg,match,1111111,ok
12417,Prayagraj Express,PRAYAGRAJ EXP,ALLAHABAD JN,NEW DELHI,Prayagraj Jn,New Delhi,match,1111111,ok
12418,Prayagraj Express,PRAYAGRAJ EXP,NEW DELHI,ALLAHABAD JN,New Delhi,Prayagraj Jn,match,1111111,ok
12424,NEW DELHI - DIBRUGARH TOWN Rajdhani Exp,DBRT RAJDHANI,NEW DELHI,DIBRUGARH TOWN,New Delhi,Dibrugarh,match,1111111,ok
12425,Jammu Rajdhani Express,JAMMU RAJDHANI,NEW DELHI,JAMMU TAWI,New Delhi,Jammu Tawi,match,1111111,ok
12426,Jammu Rajdhani Express,JAMMU RAJDHANI,JAMMU TAWI,NEW DELHI,Jammu Tawi,New Delhi,match,1111111,ok
12429,Bangalore - Hazrat Nizamuddin Rajdhani Express,LKO NDLS AC EXP,BANGALORE CITY JN,DELHI H NIZAMUDDIN,Lucknow,New Delhi,MISMATCH,1111111,ok
12430,Delhi H Nizamuddin-Bangalore Rajdhani Express,NDLS LKO AC EXP,DELHI H NIZAMUDDIN,BANGALORE CITY JN,New Delhi,Lucknow,MISMATCH,1111111,ok
12433,Chennai Central-Delhi H.Nizamuddin Rajdhani Expres,MAS NZM RAJDHANI,CHENNAI CENTRAL,DELHI H NIZAMUDDIN,Mgr Chennai Ctr,Hazrat Nizamuddin,match,101,ok
12435,DIBRUGARH TOWN - NEW DELHI Rajdhani Exp,GARIB RATH EXP,DIBRUGARH TOWN,NEW DELHI,Jaynagar,Anand Vihar Terminal,MISMATCH,1000100,ok
12436,NEW DELHI - DIBRUGARH TOWN Rajdhani Exp,JYG GARIB RATH,NEW DELHI,DIBRUGARH TOWN,Anand Vihar Terminal,Jaynagar,MISMATCH,100010,ok
12445,Uttar Sampark Kranti Express,UTTAR S KRANTI,NEW DELHI,UDHAMPUR,New Delhi,Shmata Vd Katra,match,1111111,ok
12446,Uttar Sampark Kranti Express,UTTAR S KRANTI,UDHAMPUR,NEW DELHI,Shmata Vd Katra,New Delhi,match,1111111,ok
12447,UP Sampark Kranti Express,UP SMPRK KRANTI,MANIKPUR JN,DELHI H NIZAMUDDIN,Manikpur Jn,Hazrat Nizamuddin,match,1111111,ok
12448,UP Sampark Kranti Express,,DELHI H NIZAMUDDIN,MANIKPUR JN,,,unknown,1111111,summary_parse_failed
12497,Shan-e-Punjab Express,SHANE PUNJAB,NEW DELHI,AMRITSAR JN,New Delhi,Amritsar Jn,match,1111111,ok
12455,DelhiSaraiRohilla-ShriGanganagar AC SF Express,DEE BKN EXP,DELHI SARAI ROHILLA,SHRI GANGANAGAR,Delhi S Rohilla,Bikaner Jn,MISMATCH,1111111,ok
12456,ShriGanganagar-DelhiSaraiRohilla AC SF Express,BKN DEE SF EXP,SHRI GANGANAGAR,DELHI SARAI ROHILLA,Bikaner Jn,Delhi S Rohilla,MISMATCH,1111111,ok
12457,Delhi SaraiRohilla-Bikaner Express,BKN SF EXP,DELHI SARAI ROHILLA,BIKANER JN,Delhi S Rohilla,Bikaner Jn,match,1111111,ok
12458,Bikaner-DelhiSaraiRohiilla Express,BKN DEE EXP,BIKANER JN,DELHI SARAI ROHILLA,Bikaner Jn,Delhi S Rohilla,match,1111111,ok
12468,Jaipur Bikaner InterCity Express,LEELAN SF EXP,JAIPUR,BIKANER JN,Jaipur,Jaisalmer,match,1111111,ok
12472,Jammu Tawi - Mumbai Bandra (T.) SF Swaraj Express,SWARAJ EXPRESS,JAMMU TAWI,MUMBAI BANDRA TERMINUS,Shmata Vd Katra,Bandra Terminus,match,110110,ok
12475,Hapa - Jammu Tawi Sarvodaya SF Express,HAPA SVDK EXP,HAPA,JAMMU TAWI,Hapa,Shmata Vd Katra,match,100000,ok
12476,Jammu Tawi - Hapa Sarvodaya SF Express,SVDK HAPA EXP,JAMMU TAWI,HAPA,Shmata Vd Katra,Hapa,match,1000000,ok
12477,Jamnagar - Jammu Tawi SF Sindhu Express,JAM SVDK EXP,JAMNAGAR,JAMMU TAWI,Jamnagar,Shmata Vd Katra,match,10000,ok
12479,JODHPUR - MUMBAI BANDRA Suryanagari SF Exp,SURYA NAGARI EXP,JODHPUR JN,MUMBAI BANDRA TERMINUS,Jodhpur Jn,Bandra Terminus,match,1111111,ok
12480,MUMBAI BANDRA - JODHPUR Suryanagari SF Exp,SURYANAGARI EXP,MUMBAI BANDRA TERMINUS,JODHPUR JN,Bandra Terminus,Jodhpur Jn,match,1111111,ok
12485,H S NANDED - SHRI GANGANAGAR Exp,NED SGNR SF EXP,HUZUR SAHIB NANDED,SHRI GANGANAGAR,H Sahib Nanded,Shri Ganganagar,match,1001000,ok
12486,SHRI GANGANAGAR - H S NANDED Exp,SGNR NED EXP,SHRI GANGANAGAR,HUZUR SAHIB NANDED,Shri Ganganagar,H Sahib Nanded,match,100010,ok
12487,Seemanchal Express,SEEMANCHAL EXP,JOGBANI,ANAND VIHAR TRM,Jogbani,Anand Vihar Terminal,match,1111111,ok
12489,Bikaner-Dadar Express,,BIKANER JN,MUMBAI DADAR WEST,,,unknown,1111111,summary_parse_failed
12490,Dadar - Bikaner Express,,MUMBAI DADAR WEST,BIKANER JN,,,unknown,1111111,summary_parse_failed
12491,BARAUNI - JAMMU TAWI Maur Dhwaj Express,MOUR DHWAJ EXP,BARAUNI JN,JAMMU TAWI,Barauni Jn,Jammu Tawi,match,1,ok
12492,JAMMU TAWI - BARAUNI Maur Dhwaj Express,MAUR DHAWAJ EXP,JAMMU TAWI,BARAUNI JN,Jammu Tawi,Barauni Jn,match,100,ok
12496,KOLKATA CHITPUR - BIKANER Pratap Exp,PRATAP EXPRESS,KOLKATA CHITPUR,BIKANER JN,Kolkata,Bikaner Jn,match,100,ok
16359,ERNAKULAM - PATNA Exp,ERS PATNA EXP,ERNAKULAM JN,PATNA JN,Ernakulam Jn,Patna Jn,match,10,ok
22607,ERNAKULAM - BANGALORE Weekly SF Exp,ERS BAND EXP,ERNAKULAM JN,BANGALORE CITY JN,Ernakulam Jn,Banaswadi,match,1,ok
53446,Bhagalpur Mandar Hill Passenger,,BHAGALPUR,Mandar Hill,,,unknown,1111111,summary_parse_failed
12449,MADGAON - CHANDIGARH Goa Sampark Kranti Exp,,MADGAON,CHANDIGARH,,,unknown,1111111,summary_parse_failed
12450,CHANDIGARH - MADGAON Goa Sampark Kranti Exp,GOA SMPRK KRANT,CHANDIGARH,MADGAON,Chandigarh,Madgaon,match,1000010,ok
12451,Shram Shakti Express,SHRAM SHKTI EXP,KANPUR CENTRAL,NEW DELHI,Kanpur Central,New Delhi,match,1111111,ok
12452,Shram Shakti Express,SHRAM SHKTI EXP,NEW DELHI,KANPUR CENTRAL,New Delhi,Kanpur Central,match,1111111,ok
12453,Ranchi-New Delhi Rajdhani Express,RNC NDLS RAJ EX,RANCHI,NEW DELHI,Ranchi,New Delhi,match,1,ok
12454,New Delhi-Ranchi Rajdhani Express,RNC RAJDHANI,NEW DELHI,RANCHI,New Delhi,Ranchi,match,10,ok
12459,NewDelhi-Amritsar SF InterCity,ASR INTERCITY,NEW DELHI,AMRITSAR JN,New Delhi,Amritsar Jn,match,1111111,ok
12460,Amritsar-New Delhi Intercity Express,ASR NDLS EXP,AMRITSAR JN,NEW DELHI,Amritsar Jn,New Delhi,match,1111111,ok
12461,Mandore Express,VANDE BHARAT EXP,OLD DELHI,JODHPUR JN,,,unknown,1111111,summary_parse_failed
12462,Mandore Express,JU VANDE BHARAT,JODHPUR JN,OLD DELHI,,,unknown,1111111,summary_parse_failed
12464,Rajasthan Sampark Kranti Express,RJSTHN S KRANTI,JODHPUR JN,DELHI SARAI ROHILLA,Jodhpur Jn,Delhi S Rohilla,match,1000,ok
12465,Indore-Jodhpur Ranthambhore Express,RANTHAMBHORE EXP,INDORE JN BG,JODHPUR JN,Indore Jn Bg,Bhagat Ki Kothi (Jodhpur),match,1111111,ok
12466,Jodhpur-Indore Ranthambhore Intercity Express,RANTHAMBORE EXP,JODHPUR JN,INDORE JN BG,Bhagat Ki Kothi (Jodhpur),Indore Jn Bg,match,1111111,ok
12469,Kanpur Jammu Express,CNB JAT SF EXP,KANPUR CENTRAL,JAMMU TAWI,Kanpur Central,Jammu Tawi,match,10100,ok
12470,Jammu Kanpur Express,JAT CNB EXPRESS,JAMMU TAWI,KANPUR CENTRAL,Jammu Tawi,Kanpur Central,match,101000,ok
12473,Sarvodaya SF Express,SARVODAYA EXP,AHMEDABAD JN,JAMMU TAWI,Gandhidham Jn,Shmata Vd Katra,MISMATCH,10,ok
12474,Sarvodaya SF Express,SARVODAYA EXP,JAMMU TAWI,AHMEDABAD JN,Shmata Vd Katra,Gandhidham Jn,MISMATCH,1000,ok
12478,Jammu Tawi - Jamnagar (Weekly) Sindhu SF Express,SVDK JAM EXP,JAMMU TAWI,JAMNAGAR,Shmata Vd Katra,Jamnagar,match,1,ok
12481,Delhi Sriganganagar InterCity,,OLD DELHI,SHRI GANGANAGAR,,,unknown,1111111,summary_parse_failed
12482,Sriganganagar Delhi InterCity Express,INTERCITY EXP,SHRI GANGANAGAR,OLD DELHI,Shri Ganganagar,Delhi,match,1111111,ok
12484,AMRITSAR - KOCHUVELI SF Exp,ASR KCVL SF EXP,AMRITSAR JN,KOCHUVELI,Amritsar Jn,Thiruvananthapuram North,match,1,ok
12493,Bangalore-Hazrat Nizammudin Rajdhani Express,DARSHAN EXPRESS,BANGALORE CITY JN,DELHI H NIZAMUDDIN,Miraj Jn,Hazrat Nizamuddin,MISMATCH,1,ok
12494,Hazrat Nizamuddin-Bangalore Rajdhani Express,DARSHAN EXPRESS,DELHI H NIZAMUDDIN,BANGALORE CITY JN,Hazrat Nizamuddin,Miraj Jn,MISMATCH,100,ok
12501,GUWAHATI - NEW DELHI Poorvottar Sampark Kranti Exp,AGTL GARIB RATH,GUWAHATI,NEW DELHI,Kolkata,Agartala,MISMATCH,1,ok
12502,NEW DELHI - GUWAHATI Poorvottar Sampark Kranti Exp,KOAA GARIB RATH,NEW DELHI,SILCHAR,Agartala,Kolkata,MISMATCH,10000,ok
12507,TRIVANDRUM - GUWAHATI SF Exp,ARONAI EXPRESS,TRIVANDRUM CENTRAL,GUWAHATI,Thiruvananthapuram Central,Silchar,MISMATCH,100000,ok
12508,GUWAHATI - TRIVANDRUM SF Exp,SCL TVC EXPRESS,GUWAHATI,TRIVANDRUM CENTRAL,Silchar,Thiruvananthapuram Central,MISMATCH,1000,ok
12511,Rapti Sagar Express,RAPTISAGAR EXP,GORAKHPUR JN,TRIVANDRUM CENTRAL,Gorakhpur,Thiruvananthapuram North,match,1101,ok
12512,Rapti Sagar Expres,,TRIVANDRUM CENTRAL,GORAKHPUR JN,,,unknown,1111111,summary_parse_failed
12514,GUWAHATI - SECUNDERABAD Exp,,GUWAHATI,SECUNDERABAD JN,,,unknown,1111111,summary_parse_failed
12519,MUMBAI LTT - KAMAKHYA AC Exp,LTT AGTL AC EXP,LOKMANYA TILAK TERM,KAMAKHYA,Lokmanyatilak,Agartala,match,1,ok
12520,KAMAKHYA - MUMBAI LTT AC Exp,AGTL LTT AC EXP,KAMAKHYA,LOKMANYA TILAK TERM,Agartala,Lokmanyatilak,match,1000,ok
12522,Raptisagar Express,,ERNAKULAM JN,BARAUNI JN,,,unknown,1111111,summary_parse_failed
12527,Mumbai CST-Latur Superfast Express.,CPR ANVT SF EXP,MUMBAI CST,LATUR,Chhapra,Anand Vihar Terminal,MISMATCH,1,ok
12528,Latur-Mumbai CST Superfast Express,ANVT CPR SF EXP,LATUR,MUMBAI CST,Anand Vihar Terminal,Chhapra,MISMATCH,1000000,ok
12535,Lucknow-Raipur Garib Rath Express,LJN R GARIBRATH,LUCKNOW JN,RAIPUR JN,Lucknow Ne,Raipur Jn,match,1001000,ok
12536,Raipur-Lucknow Garib Rath,LJN GARIBRATH,RAIPUR JN,LUCKNOW JN,Raipur Jn,Lucknow Ne,match,100100,ok
12537,Bapudham Express,MANDUADIH EXP,BAPUDHAM MOTIHARI,MANDUADIH,Muzaffarpur Jn,Prayagraj Jn,MISMATCH,1010000,ok
12538,Bapudham Express,PRRB MFP EXP,MANDUADIH,BAPUDHAM MOTIHARI,Prayagraj Jn,Muzaffarpur Jn,MISMATCH,1010000,ok
12539,YESVANTPUR - LUCKNOW SF Exp,,YESVANTPUR JN,LUCKNOW,,,unknown,1111111,summary_parse_failed
12540,LUCKNOW - YESVANTPUR SF Exp,LKO YPR EXP,LUCKNOW,YESVANTPUR JN,Lucknow,Yasvantpur Jn,match,100,ok
12541,Gorakhpur-Mumbai LTT SF Express,,GORAKHPUR JN,LOKMANYA TILAK TERM,,,unknown,1111111,summary_parse_failed
12543,Yesvantpur-Tirupati Tri Weekly Intercity,,YESVANTPUR JN,TIRUPATI MAIN,,,unknown,1111111,summary_parse_failed
12544,Tirupati-Yesvantpur Tri Weekly SF Intercity,,TIRUPATI MAIN,YESVANTPUR JN,,,unknown,1111111,summary_parse_failed
12549,DURG - JAMMU TAWI SF Exp,,DURG,JAMMU TAWI,,,unknown,1111111,summary_parse_failed
12550,JAMMU TAWI - DURG SF Exp,MCTM DURG SF EXP,JAMMU TAWI,DURG,Mtyr C Tushar M,Durg,match,1000,ok
12553,Vaishali SF Express,VAISHALI EXP,BARAUNI JN,NEW DELHI,Lalit Gram,New Delhi,match,1111111,ok
40003,Chennai Beach Tambaram EMU(12 Car),MSB-TBM EMU LOCAL,CHENNAI BEACH,TAMBARAM,,,unknown,1111111,summary_parse_failed
12498,Shan-e-Punjab Express,SHANE PUNJAB,AMRITSAR JN,NEW DELHI,Amritsar Jn,New Delhi,match,1111111,ok
12505,GUWAHATI - DELHI ANAND VIHAR North East Exp,NORTHEAST EXP,GUWAHATI,ANAND VIHAR TRM,Kamakhya,Anand Vihar Terminal,MISMATCH,1111111,ok
12506,DELHI ANAND VIHAR - GUWAHATI North East Exp,NORTH EAST EXP,ANAND VIHAR TRM,GUWAHATI,Anand Vihar Terminal,Kamakhya,MISMATCH,1111111,ok
12509,BENGALURU - GUWAHATI (Kaziranga) SF Express,GUWAHATI EXP,BANGALORE CANT,GUWAHATI,Smvt Bengaluru,Guwahati,match,11100,ok
12510,GUWAHATI - BENGALURU (Kaziranga) SF Express,,GUWAHATI,BANGALORE CITY JN,,,unknown,1111111,summary_parse_failed
12515,RIVANDRUM - GUWAHATI Exp,,TRIVANDRUM CENTRAL,GUWAHATI,,,unknown,1111111,summary_parse_failed
12516,GUWAHATI - TRIVANDRUM CENTRAL EXP,,GUWAHATI,TRIVANDRUM CENTRAL,,,unknown,1111111,summary_parse_failed
12517,KOLKATA - GUWAHATI Garib Rath Exp,GHY GARIB RATH,KOLKATA CHITPUR,GUWAHATI,Kolkata,Guwahati,match,1000,ok
12518,GUWAHATI - KOLKATA Garib Rath Exp,KOAA GARIB RATH,GUWAHATI,KOLKATA CHITPUR,Guwahati,Kolkata,match,10,ok
12521,Raptisagar Express,RAPTI SAGAR EXP,BARAUNI JN,ERNAKULAM JN,Barauni Jn,Ernakulam Jn,match,1000000,ok
12523,New Jalpaiguri-New Delhi Superfast Express,NJP ANVT EXPRESS,NEW JALPAIGURI,NEW DELHI,New Jalpaiguri,Anand Vihar Terminal,match,100010,ok
12524,New Delhi New Jalpaiguri SuperFast Express,ANVT NJP SF EXP,NEW DELHI,NEW JALPAIGURI,Anand Vihar Terminal,New Jalpaiguri,match,10001,ok
12525,Indrayani SF Express,KOAA DBRG EXP,MUMBAI CST,PUNE JN,Kolkata,Dibrugarh,MISMATCH,10000,ok
12526,Indrayani SF Express,DBRG KOAA EXP,PUNE JN,MUMBAI CST,Dibrugarh,Kolkata,MISMATCH,100000,ok
12529,Bhopal-Jabalpur Intercity Express,PPTA LJN SF EXP,HABIBGANJ,JABALPUR,Patliputra,Lucknow Ne,MISMATCH,1110110,ok
12530,Jabalpur-Bhopal Intercity,LJN PPTA SF EXP,JABALPUR,HABIBGANJ,Lucknow Ne,Patliputra,MISMATCH,1110110,ok
12531,Gorakhpur Lucknow InterCity Express,LJN INTERCITY,GORAKHPUR JN,LUCKNOW JN,Gorakhpur,Lucknow Ne,match,1111111,ok
12532,Lucknow Gorakhpur Inter City Express,GKP INTERCITY,LUCKNOW JN,GORAKHPUR JN,Lucknow Ne,Gorakhpur,match,1111111,ok
12533,Pushpak Express,PUSHPAK EXPRESS,LUCKNOW JN,MUMBAI CST,Gomtinagar (Lucknow),C Shivaji Maharaj T,match,1111111,ok
12534,Pushpak Express,PUSHPAK EXPRESS,MUMBAI CST,LUCKNOW JN,C Shivaji Maharaj T,Gomtinagar (Lucknow),match,1111111,ok
12545,RAXAUL - MUMBAI LTT Karmabhoomi Exp,RXL-LTT KARMBHUMI EXPRESS,RAXAUL JN,LOKMANYA TILAK TERM,Raxaul Jn,Lokmanyatilak,match,1000,ok
12547,Agra Fort Ahmedabad Tri Weekly Express,AGC SBIB SF EXP,AGRA FORT,AHMEDABAD JN,Agra Cantt,Sabarmati Bg,match,1101100,ok
12548,Ahmedabad-Agra Fort Express,SBIB AGC SF EXP,AHMEDABAD JN,AGRA FORT,Sabarmati Bg,Agra Cantt,match,1011001,ok
12554,Vaishali SF Express,VAISHALI EXP,NEW DELHI,BARAUNI JN,New Delhi,Lalit Gram,match,1111111,ok
12557,Sapt Kranti SF Express,SAPT KRANTI EXP,MUZAFFARPUR JN,ANAND VIHAR TRM,Muzaffarpur Jn,Anand Vihar Terminal,match,1111111,ok
12558,Sapt Kranti SF Express,SAPT KRANTI EXP,ANAND VIHAR TRM,MUZAFFARPUR JN,Anand Vihar Terminal,Muzaffarpur Jn,match,1111111,ok
12569,Jaynagar-Delhi AnandViharT Garib Rath,JYG ANVT G RATH,JAYNAGAR,ANAND VIHAR TRM,Jaynagar,Anand Vihar Terminal,match,1000100,ok
12570,Anand Vihar Terminus-Jaynagar Garib Rath Express,JYG GARIB RATH,ANAND VIHAR TRM,JAYNAGAR,Anand Vihar Terminal,Jaynagar,match,100010,ok
12571,Howrah Prasanti Nilayam SF Express,ANVT HUMSAFAR,HOWRAH JN,SATYA SAI P NILAYAM,Gorakhpur,Anand Vihar Terminal,MISMATCH,10111,ok
12572,Prashanti Nilayam Howrah SF Express,GKP HUMSAFAR EX,SATYA SAI P NILAYAM,HOWRAH JN,Anand Vihar Terminal,Gorakhpur,MISMATCH,1001011,ok
12573,SainagarShirdi-Howrah Express,,SAINAGAR SHIRDI,HOWRAH JN,,,unknown,1111111,summary_parse_failed
12577,DARBHANGA - MYSORE BAGMATI SF Exp,BAGMATI EXP,DARBHANGA JN,MYSORE JN,Darbhanga Jn,Mysore Jn,match,100000,ok
12578,MYSORE - DARBHANGA BAGMATI SF Exp,BAGMATI EXP,MYSORE JN,DARBHANGA JN,Mysore Jn,Darbhanga Jn,match,100,ok
12579,Digha- Puri SamudraKanya Express,,Digha Flag Station,PURI,,,unknown,1111111,summary_parse_failed
12581,Pune Bhubaneshwar Express,BNRS NDLS SFEXP,PUNE JN,BHUBANESWAR,Banaras,New Delhi,MISMATCH,1001111,ok
